44,44,44
5,Passion about technologies,09-03-2017 22:00
5,Frustrated about work,05-06-2017 13:05
5,ram is alone,04-08-2017 02:30
5,am in depression,08-09-2017 02:35
5,Feeling lonely,9/14/2017 20:09
19,I used to learn play on piano,11-12-2017 01:02
19,I feel stressed so much this week,9/29/2017 12:19
19,Feeling very happy,3/23/2017 8:51
19,Expectation is the mother of all frustration,03-01-2017 11:29
19,I am in danger,5/22/2017 16:06
19,Never make a decision when you are upset sad jealous or in love.,06-08-2017 21:41
19,I love music,01-04-2017 12:14
19,Feeling left out,8/29/2017 20:56
19,Irritated with worst behavior,7/20/2017 18:22
19,My amazing memory saves the day again!,1/18/2017 23:53
19,The word happy would lose its meaning if it were not balanced by sadness,9/15/2017 12:56
19,I feel stressed so much this week,05-04-2017 06:17
19,Celebrations at weekend,11-05-2017 08:42
19,Get thrilled for your surprises,02-09-2017 18:36
19,Feeling proud to be part of my company,12-12-2017 16:24
19,Frustrated about work,05-05-2017 02:49
19,Never make a decision when you are upset sad jealous or in love.,8/17/2017 17:18
19,I used to learn play on piano,3/18/2017 3:30
19,Feeling proud to be part of my company,7/21/2017 17:22
19,Some jerk stole my photo on tumblr,5/31/2017 3:05
19,Feeling Crazy,06-06-2017 17:26
19,Its sad to know I am done. But looking back Ive got a lot of great memories,7/31/2017 2:10
19,I used to learn play on piano,09-11-2017 17:28
19,Feeling tensed,6/24/2017 19:56
19,Mika used my photo on tumblr,1/30/2017 13:45
19,A strong emotion of attachment one feels for someone else,10-10-2017 13:53
19,Passion about technologies,05-02-2017 19:45
19,Frightened of ghost,11/26/2017 1:59
19,Frustrated about work,09-04-2017 05:52
19,Feeling nervous with higher authority,6/24/2017 10:22
19,Feeling tensed,7/23/2017 5:18
27,Feeling very happy,12/30/2017 11:55
27,Very little is needed to make a happy life it is all within yourself in your way of thinking,3/14/2017 19:03
27,Silence is one of the hardest arguments to refute,3/30/2017 2:25
27,The opposite of anger is not calmness its empathy,08-07-2017 06:09
27,Some jerk stole my photo on tumblr,12-07-2017 14:33
27,Feeling alone,6/21/2017 6:29
27,I like bike rides,3/13/2017 23:00
27,Be happy for this moment. This moment is your life,05-07-2017 02:01
27,Passion about mobiles,9/16/2017 0:42
40,I feel stressed this week,07-05-2017 00:23
40,I am in danger,12/20/2017 11:42
40,My amazing memory saves the day again!,02-04-2017 03:12
40,I feel stressed this week,12/20/2017 11:55
40,I was an accomplice in my own frustration,2/24/2017 19:44
40,Enjoyed a lot with friends,2/16/2017 4:56
40,Feeling proud to have a friend like you,01-02-2017 10:37
40,Feeling left out,12/21/2017 3:15
40,Cheerful with friends,12/30/2017 9:30
40,I feel relaxed,2/26/2017 17:05
40,Passion about technologies,5/26/2017 17:07
49,I am bored,8/16/2017 19:04
49,I am in danger,06-11-2017 21:08
49,Feeling nervous with higher authority,10/30/2017 6:37
49,I feel non-stressed,07-06-2017 15:18
49,Very little is needed to make a happy life it is all within yourself in your way of thinking,9/30/2017 9:41
49,Feeling lonely,10-03-2017 07:57
49,Feeling very happy,11/25/2017 15:03
49,Frustration is not a work plan,7/22/2017 15:28
49,Mika used my photo on tumblr,05-03-2017 00:52
69,I am in depression,5/23/2017 15:22
69,I feel non-stressed,7/30/2017 23:45
69,Unsatisfied with Higher Authority,06-04-2017 08:33
69,Silence is one of the hardest arguments to refute,05-12-2017 03:41
69,Feeling alone,10-10-2017 03:08
69,Afraid of new technologies,7/13/2017 1:21
69,Afraid of new technologies,11/24/2017 2:28
69,Feeling proud to be part of my company,9/28/2017 20:27
69,Frustration is not a work plan,5/29/2017 18:34
69,I like bike rides,10-02-2017 07:21
69,Passion about mobiles,11/20/2017 10:11
69,Frustrated about work,03-10-2017 08:37
69,Unsatisfied with Higher Authority,4/20/2017 17:26
69,I feel stressed this week,12/21/2017 8:37
71,Cheerful with friends,12/27/2017 10:21
71,Feeling proud to have a friend like you,9/24/2017 3:40
71,I was an accomplice in my own frustration,7/30/2017 15:32
71,I am in depression,5/23/2017 18:20
71,Frustration is not a work plan,11-04-2017 14:21
71,Frustration is not a work plan,12/24/2017 15:01
71,Silence is one of the hardest arguments to refute,11/14/2017 22:37
71,Feeling Disgusting,06-08-2017 04:00
71,My amazing memory saves the day again!,07-01-2017 16:50
71,Feeling lonely,8/28/2017 19:17
76,The opposite of anger is not calmness its empathy,7/29/2017 14:10
76,Mika used my photo on tumblr,12/14/2017 11:20
76,Afraid of new technologies,8/22/2017 15:19
76,Mika used my photo on tumblr,02-09-2017 06:48
76,Feeling sad,06-08-2017 04:02
76,Feeling Disgusting,2/14/2017 2:53
76,A strong emotion of attachment one feels for someone else,8/24/2017 7:54
76,Its sad to know I am done. But looking back Ive got a lot of great memories,09-04-2017 01:58
